"","Inh.L1.5.VIP.SMOC1","Inh.L1.VIP.KLHDC8B","Inh.L3.5.VIP.IGDCC3","Inh.L1.3.VIP.CHRNA2","Inh.L1.2.VIP.EXPH5","Inh.L1.3.VIP.CBLN1","Inh.L1.3.VIP.HSPB6","Inh.L1.2.VIP.PTGER3","Inh.L1.2.VIP.SCML4","Inh.L1.3.VIP.FNDC1","Inh.L1.5.VIP.LINC01013","Inh.L2.5.VIP.SOX11","Inh.L3.6.VIP.ZIM2.AS1","Inh.L1.5.VIP.CD27.AS1","Inh.L1.5.VIP.PHLDB3","Inh.L2.VIP.SLC6A16","Inh.L2.5.VIP.BSPRY","Inh.L3.5.VIP.HS3ST3A1","Inh.L3.5.VIP.TAC3","Inh.L3.6.VIP.UG0898H09","Inh.L5.6.VIP.COL4A3","Inh.L1.3.VIP.CBLN1.Inh.L3.6.VIP.UG0898H09.6","Inh.L1.3.VIP.CBLN1.Inh.L2.VIP.SLC6A16.4","Inh.L1.3.VIP.CBLN1.Inh.L1.3.VIP.HSPB6.2","Inh.L1.2.VIP.EXPH5.Inh.L1.3.VIP.HSPB6.1","Inh.L1.2.VIP.PTGER3.Inh.L2.VIP.SLC6A16.3","Inh.L1.2.VIP.PTGER3.Inh.L1.3.VIP.FNDC1.2","Inh.L1.2.VIP.SCML4.Inh.L1.3.VIP.FNDC1.1","Inh.L1.3.VIP.CHRNA2.Inh.L2.VIP.SLC6A16.1","Inh.L1.VIP.KLHDC8B.Inh.L3.6.VIP.UG0898H09.5","Inh.L1.VIP.KLHDC8B.Inh.L2.5.VIP.BSPRY.4","Inh.L1.VIP.KLHDC8B.Inh.L3.5.VIP.IGDCC3.1","Inh.L1.5.VIP.SMOC1.Inh.L2.5.VIP.BSPRY.3","Inh.L1.5.VIP.SMOC1.Inh.L5.6.VIP.COL4A3.2","Inh.L3.5.VIP.HS3ST3A1.Inh.L5.6.VIP.COL4A3.1","Inh.L1.5.VIP.CD27.AS1.Inh.L2.5.VIP.BSPRY.1","Inh.L2.5.VIP.SOX11.Inh.L3.6.VIP.UG0898H09.4","Inh.L2.5.VIP.SOX11.Inh.L3.6.VIP.ZIM2.AS1.1","Inh.L3.5.VIP.TAC3.Inh.L3.6.VIP.UG0898H09.3","Inh.L1.5.VIP.PHLDB3.Inh.L3.6.VIP.UG0898H09.2","Inh.L1.5.VIP.LINC01013.Inh.L3.6.VIP.UG0898H09.1"
"Inh VIP THSD7B:Inh VIP LOC108588539:6",-12.4587208798463,-3.58468565582756,-9.4161288149876,-11.5023354357684,-16.6982653761862,-20.192215489798,-16.9433149714138,-16.3172739566751,-17.1142458381973,-22.0221759723334,22.6723328075707,43.3327015741994,37.9987518956561,1.683376419795,6.7166663176846,-9.96242116894602,-9.13575108315658,-10.9676477800092,-5.81014013193195,23.1140622747665,-9.89545100623613,-9.53897905109549,-23.2588300275254,-23.9304131285615,-20.6425042789326,-20.7980990939324,-23.0543800604452,-23.8169646364467,-15.7413431550022,1.28573045904767,-11.8276366983942,-11.50161509297,-12.7203064009988,-16.8984532102832,-14.6774461324778,-7.20214108018741,18.5733669163216,31.9970046386138,-0.344206650347053,11.610138540503,20.595875437031
"Inh VIP LOC100397259:Inh VIP LOC108588539:5",12.1273241375638,-4.52332970489552,-8.37190368421141,79.1660868968043,-11.7543189839072,-16.6156376062143,-15.8626180534651,22.7486565086648,29.2930942770709,12.0461248267976,-21.9722510577048,-26.3816295084261,-20.4605646241623,-26.4392249283975,-22.7087866646748,66.316575796936,-23.8124888165446,-20.0648555561897,-21.9641827925803,-25.5179042648254,-16.8790812767285,-12.3392289282673,18.7102669580583,-24.4072019295901,-22.8136539104504,68.5623151818354,26.4034468801805,20.6847115182256,73.1060664271279,-35.4493654271433,-25.2203586093683,-13.7419028302882,-32.2169528695186,-10.3774358248596,-27.6410705850711,-36.1521507439395,-43.8571512990848,-35.0558219001647,-38.3230241438125,-36.7540052848514,-35.3374175003217
"Inh VIP LOC100397259:Inh GAD1 NPSR1:1",21.565917434231,-1.36017215361835,-7.88748204623203,100.45699180341,-21.841386160177,-25.7115742097782,-23.2525936259124,24.4853320971427,32.0857078394282,7.86301648945177,-27.2650189617198,-31.4899865418591,-25.8170530121501,-27.6767745087814,-28.980211216545,82.1746890694041,-26.6641020653825,-19.8500195968944,-31.5285568418146,-31.3116284266204,-15.1950742275914,-6.48672512849074,10.2607394518836,-33.2878054815123,-31.7795440866508,75.8845011164572,25.9995837759888,19.647112423819,90.7898640087858,-35.906641307348,-19.7856185997058,-11.6663354744862,-25.8806390316082,-4.48808731042971,-24.5532235151695,-35.8060900550621,-50.4048296694991,-38.1788375580403,-44.0495437299188,-42.8880291186676,-38.8909433981432
"Inh SNCG LOC108587895:Inh VIP LOC108588539:4",-18.9964451335382,-13.371535481926,-5.63184981335837,-7.58795043663911,32.05014126796,23.8610593029778,17.8425951423632,20.5787178514518,22.4448717859391,33.959581832315,-12.0166520263664,-20.6571895102273,-15.9217231503051,-22.9842219497719,-1.90044614170752,6.81524156997374,-10.6366730063665,-15.2349670379922,15.5878741930116,-13.2134618473854,-20.4213398989311,6.2180792730409,29.0671614392174,28.1141518807818,28.7036977312511,12.6066225023226,28.4085731946889,30.9015293706974,-5.04330750424871,-29.7656611618442,-30.5446093840629,-20.0530147031636,-38.8825073133852,-32.0766527625996,-27.895403243175,-27.9649353803945,-20.0808983815512,-27.6524269979896,-2.9661103185764,-16.820781369977,-22.8643030370308
"Inh SNCG LOC108587895:Inh VIP FIGN:2",-30.9770954398935,-24.9585619461989,-27.8309267193712,-7.07765132337095,55.3136006792642,36.7751970098746,32.7740538850403,44.566638601135,43.8452507802714,62.4461306315259,-24.0718830754709,-27.7046218426213,-22.7708478601702,-27.9252496136779,-18.2460084152067,19.6688873951282,-9.23378745945844,-21.0410489001229,-0.858265495071908,-28.1009795622781,-25.8891835601088,6.50197305857857,44.6707879272266,46.0585813414825,51.2548843814497,35.4359306095334,56.7633826639904,56.3494528802449,0.892545356623453,-37.9490726378887,-44.7979346083786,-37.2831487791457,-39.9682319114698,-40.3741787629862,-32.5242870541941,-27.3452401435732,-33.1374528261983,-32.498661935104,-21.746748848561,-35.8128258079895,-36.6970666693644
"Inh VIP LOC108589153:Inh VIP FIGN:1",-30.7541158226367,-24.9614179753388,-29.2542158249888,-26.6598788235471,87.4305273934282,52.6572137604398,66.3194035943472,8.09628747669082,6.11224632263467,35.307557329204,-26.0408445616421,-28.6016959638693,-23.9063906560589,-21.2913239898052,-21.273382645984,-16.0390900803817,14.0432115052154,-7.39065648796527,-3.56493352413756,-29.4951769533037,-18.4943421514968,1.57529818985652,44.9307210361714,76.8485286308215,91.10426031271,-15.0000801186847,12.0127150740046,18.773644703697,-31.0958732899168,-35.1847235892452,-39.1903054160615,-36.6836036291425,-25.5335230018612,-34.6331139160558,-20.8416140529825,-8.63186767521689,-37.8285886975975,-33.8591091681452,-24.5397616688076,-40.7279626362927,-38.4640779706111
"Inh VIP GPR149:Inh VIP LOC108588539:3",3.9358860453686,8.06184945823866,34.5182599416783,-12.3737599038961,-14.6587657637467,-2.43833241214757,-13.0172930941248,-26.7481559187814,-22.491701192699,-21.8253383327043,9.9562242824428,-2.60177398287223,-2.22574577174823,-7.99037608799531,28.9892066513487,-21.8647753421548,-10.8467899154583,-1.55679812961049,45.2342283341381,16.5892121988464,-6.77994257199508,-15.2531723707472,-33.7025572329012,-15.9043996509809,-23.0646285359386,-44.230608159728,-38.6941884759813,-31.3901188394124,-27.1944552403164,12.1016241670416,5.91447150843764,15.157796694268,-15.516659923359,-5.83802153781985,-11.6028057969119,-19.5400138552909,11.1605265647339,-9.93855895256497,38.7977590595806,25.2171552541424,11.6252180823162
"Inh VIP GPR149:Inh VIP VAT1L:2",33.5808275365448,21.9157219743568,16.8915882019237,10.2582859522398,-24.772901634217,-27.5151773314531,-13.7829063295222,-30.1317518394057,-29.3502472584424,-33.5440733301407,-21.6069472425195,-28.867593728857,-20.5031529557194,-0.166102461953913,-23.894508581526,-15.6931619956963,5.16003412590428,24.5945299411487,-25.0770901516675,-26.799896940937,14.9408303382163,-30.1949014487296,-41.8277811831896,-34.979835816294,-28.7249893515021,-35.3439062229294,-46.272527696127,-43.7712774170818,-11.2371468344594,-19.3385452967957,17.8444266369134,15.7282632396629,16.6213468847227,28.0744679232782,19.6949802803391,-0.302289778968208,-42.0561078745813,-32.8705934885481,-39.0382157472945,-37.2172336242398,-33.2804032257099
"Inh VIP LOC108588071:Inh VIP VAT1L:1",28.4538664333934,21.2949920822239,13.614340400562,-14.5343796086875,-23.8180968688164,-27.5240918141052,-6.07423836057881,-32.2600927639122,-31.0745103971529,-38.8450694492507,-20.1264315574826,-22.1253501863111,-16.8775434455263,20.3347725930686,-24.7650283600816,-25.5820878586706,26.9168862521369,42.6357905372136,-27.4905880219301,-21.5972938973867,26.2806845636821,-34.5957185120796,-45.0377295379604,-33.8419181787491,-23.8467712995097,-47.8892925413138,-49.3308428052095,-45.6036892850061,-29.2480816052118,-12.8715792504999,24.459639066901,13.8296982957567,35.614427191054,34.6069700869703,36.1612797637997,26.2437503477867,-41.3003325326522,-28.1236960441434,-41.496589637486,-38.4502518941193,-29.2350700220846
"Inh VIP CIT:Inh VIP LOC108588539:1",-16.3489312621253,-1.11481428261158,44.0712811367001,-26.45523518607,-5.08838768367572,16.9809020032092,-11.1419252438206,-22.2775415355327,-16.6197370464873,-11.688114403712,35.2145288873661,17.8597870766967,12.66088370738,-11.5893980549561,64.6986695556674,-23.8754957496124,-22.2964517507522,-20.6385375881465,87.3443315592637,47.0501244765197,-21.0147735714936,4.38210464519706,-14.3578466161872,0.827302023007166,-14.6092589613419,-36.2575425593072,-27.2447169612685,-19.8536394935384,-32.4759799027718,21.9306942731696,-1.10562802122861,13.4144359847741,-30.2927705915673,-27.7043255635789,-28.8069879094571,-26.2317102603996,44.1376843777046,7.03302650728328,80.223190116293,65.3734630497941,42.7502276530163
