,index,TF,eRegulon_name,size_name,color_name,size_val,color_val,repressor_activator
46,B intermediate,ZEB2,ZEB2_+_(514r),ZEB2_+_(514r),ZEB2,0.4788742090656911,0.40942004,activator
47,B intermediate,ZEB2,ZEB2_-_(834r),ZEB2_-_(834r),ZEB2,0.7054878749907202,0.40942004,repressor
48,B intermediate,ZEB2,ZEB2_-_(834r),ZEB2_-_(834r),ZEB2,0.7054878749907202,0.40942004,repressor
49,B intermediate,ZEB2,ZEB2_-_(834r),ZEB2_-_(834r),ZEB2,0.7054878749907202,0.40942004,repressor
50,B intermediate,ZEB2,ZEB2_-_(834r),ZEB2_-_(834r),ZEB2,0.7054878749907202,0.40942004,repressor
51,B intermediate,KLF2,KLF2_+_(60r),KLF2_+_(60r),KLF2,0.5195819375534154,0.7287192,activator
52,B intermediate,KLF2,KLF2_+_(60r),KLF2_+_(60r),KLF2,0.5195819375534154,0.7287192,activator
53,B intermediate,KLF2,KLF2_+_(60r),KLF2_+_(60r),KLF2,0.5195819375534154,0.7287192,activator
54,B intermediate,KLF2,KLF2_+_(60r),KLF2_+_(60r),KLF2,0.5195819375534154,0.7287192,activator
55,B intermediate,KLF2,KLF2_-_(51r),KLF2_-_(51r),KLF2,0.6412635426374521,0.7287192,repressor
56,B intermediate,KLF2,KLF2_-_(51r),KLF2_-_(51r),KLF2,0.6412635426374521,0.7287192,repressor
57,B intermediate,KLF2,KLF2_-_(51r),KLF2_-_(51r),KLF2,0.6412635426374521,0.7287192,repressor
58,B intermediate,KLF2,KLF2_-_(51r),KLF2_-_(51r),KLF2,0.6412635426374521,0.7287192,repressor
59,B intermediate,STAT6,STAT6_extended_-_(20r),STAT6_extended_-_(20r),STAT6,0.27480672094608766,0.6506797,repressor
60,B intermediate,STAT2,STAT2_+_(494r),STAT2_+_(494r),STAT2,0.2701358347812571,0.19843121,activator
61,B intermediate,EBF1,EBF1_+_(492r),EBF1_+_(492r),EBF1,1.0,0.86734074,activator
