"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FOS",0,3.79207360099386,0.971,0.288,0,"vRG","FOS"
"EGR1",0,3.75246516398957,0.927,0.14,0,"vRG","EGR1"
"CYR61",0,3.66121609758628,0.763,0.032,0,"vRG","CYR61"
"HES1",0,3.65052379617302,0.904,0.085,0,"vRG","HES1"
"VIM",0,3.3247216890189,0.954,0.172,0,"vRG","VIM"
"ID4",0,3.07725967701604,0.776,0.099,0,"vRG","ID4"
"JUN",0,2.97164316330205,0.934,0.316,0,"vRG","JUN"
"CRYAB",0,2.88827402862122,0.222,0.004,0,"vRG","CRYAB"
"ZFP36L1",0,2.60615790442474,0.674,0.06,0,"vRG","ZFP36L1"
"SOX9",0,2.58760412774775,0.747,0.09,0,"vRG","SOX9"
"CLU",0,2.54202522368287,0.65,0.061,0,"vRG","CLU"
"COL11A1",0,2.46646483919622,0.651,0.065,0,"vRG","COL11A1"
"FBXO32",0,2.45536701402297,0.509,0.056,0,"vRG","FBXO32"
"SPARC",0,2.44019814792373,0.64,0.056,0,"vRG","SPARC"
"SFRP1",0,2.42949006293081,0.866,0.191,0,"vRG","SFRP1"
"CTGF",0,2.39266974608981,0.268,0.004,0,"vRG","CTGF"
"PTN",0,2.35946153987853,0.942,0.319,0,"vRG","PTN"
"IER2",0,2.32738006665502,0.702,0.131,0,"vRG","IER2"
"C8orf4",0,2.19060946791038,0.554,0.039,0,"vRG","C8orf4"
"SOX2",0,2.15903915086833,0.845,0.155,0,"vRG","SOX2"
"ITGB8",0,2.15457043546611,0.62,0.092,0,"vRG","ITGB8"
"FABP5",0,2.11444018271137,0.828,0.328,0,"vRG","FABP5"
"ITGA2",0,1.97931336091107,0.43,0.03,0,"vRG","ITGA2"
"PEA15",0,1.92763828125526,0.73,0.174,0,"vRG","PEA15"
"JUNB",0,1.90988556208633,0.379,0.02,0,"vRG","JUNB"
"CREB5",0,1.89289903941117,0.524,0.06,0,"vRG","CREB5"
"DBI",0,1.89056758918746,0.731,0.186,0,"vRG","DBI"
"SLC1A3",0,1.87772411151874,0.595,0.085,0,"vRG","SLC1A3"
"CNN3",0,1.8541987150075,0.782,0.272,0,"vRG","CNN3"
"PAX6",0,1.81937260418746,0.607,0.101,0,"vRG","PAX6"
"GFAP",0,1.78729807693939,0.323,0.022,0,"vRG","GFAP"
"GLI3",0,1.76831630159219,0.45,0.04,0,"vRG","GLI3"
"TFAP2C",0,1.75376113641598,0.422,0.033,0,"vRG","TFAP2C"
"ZFP36",0,1.74622768825164,0.247,0.007,0,"vRG","ZFP36"
"HSPB1",0,1.73855360399549,0.534,0.074,0,"vRG","HSPB1"
"TAGLN2",0,1.7154666073974,0.436,0.049,0,"vRG","TAGLN2"
"CDO1",0,1.70695108598888,0.511,0.076,0,"vRG","CDO1"
"ENSG00000256637",0,1.69798757228913,0.425,0.049,0,"vRG","ENSG00000256637"
"ATF3",0,1.67212543426464,0.301,0.01,0,"vRG","ATF3"
"NRG1",0,1.6714395361278,0.507,0.088,0,"vRG","NRG1"
"BTG2",0,1.65283348267422,0.35,0.036,0,"vRG","BTG2"
"GPX3",0,1.64340002410058,0.347,0.024,0,"vRG","GPX3"
"PALLD",0,1.6420945739387,0.513,0.101,0,"vRG","PALLD"
"ENSG00000228061",0,1.5624151550566,0.322,0.022,0,"vRG","ENSG00000228061"
"MAFF",0,1.54123235329309,0.325,0.018,0,"vRG","MAFF"
"TTYH1",0,1.54036226611285,0.446,0.054,0,"vRG","TTYH1"
"PLPP3",0,1.49899166533532,0.38,0.043,0,"vRG","PLPP3"
"RCN1",0,1.49513038580129,0.412,0.048,0,"vRG","RCN1"
"PON2",0,1.47600055339577,0.428,0.061,0,"vRG","PON2"
"LIPG",0,1.47346976938167,0.332,0.019,0,"vRG","LIPG"
"GATM",0,1.4702404356262,0.361,0.036,0,"vRG","GATM"
"NFE2L2",0,1.4449536993817,0.382,0.05,0,"vRG","NFE2L2"
"IQGAP2",0,1.44033850263431,0.412,0.067,0,"vRG","IQGAP2"
"ZFHX4",0,1.42128504528534,0.454,0.082,0,"vRG","ZFHX4"
"BCAN",0,1.39269967282776,0.354,0.036,0,"vRG","BCAN"
"NR4A1",0,1.35013558394576,0.242,0.007,0,"vRG","NR4A1"
"PDLIM3",0,1.33345667890696,0.262,0.025,0,"vRG","PDLIM3"
"LTBP1",0,1.33134647037513,0.299,0.02,0,"vRG","LTBP1"
"LGALS3",0,1.32464752825885,0.244,0.027,0,"vRG","LGALS3"
"ANXA5",0,1.31824948278356,0.364,0.051,0,"vRG","ANXA5"
"BOC",0,1.31365714502506,0.318,0.031,0,"vRG","BOC"
"GULP1",0,1.30540331411561,0.329,0.048,0,"vRG","GULP1"
"ARC",0,1.30321673546575,0.244,0.017,0,"vRG","ARC"
"SOX3",0,1.27221758953051,0.279,0.018,0,"vRG","SOX3"
"IRF1",0,1.24189015970913,0.169,0.004,0,"vRG","IRF1"
"HLA-E",0,1.20049964389598,0.181,0.014,0,"vRG","HLA-E"
"DDAH1",0,1.19772648371091,0.314,0.039,0,"vRG","DDAH1"
"SELENOP",0,1.14837239254258,0.256,0.028,0,"vRG","SELENOP"
"ANXA2",0,1.1414332360778,0.241,0.015,0,"vRG","ANXA2"
"FSTL1",0,1.13172630086785,0.29,0.034,0,"vRG","FSTL1"
"PBXIP1",0,1.11588896729608,0.208,0.015,0,"vRG","PBXIP1"
"BMP7",0,1.10478690487013,0.249,0.025,0,"vRG","BMP7"
"LOX",0,1.08279614513118,0.229,0.013,0,"vRG","LOX"
"FZD8",0,1.04217442393588,0.216,0.015,0,"vRG","FZD8"
"GPC4",0,1.02895290763149,0.23,0.018,0,"vRG","GPC4"
"IFITM3",0,0.987712821786593,0.23,0.019,0,"vRG","IFITM3"
"PDGFD",0,0.987279701136654,0.194,0.011,0,"vRG","PDGFD"
"SFRP2",0,0.964114025556278,0.22,0.013,0,"vRG","SFRP2"
"EGR2",0,0.851974357879101,0.152,0.003,0,"vRG","EGR2"
"LECT1",0,0.802771425983787,0.139,0.005,0,"vRG","LECT1"
"ANXA1",0,0.794127475830314,0.133,0.005,0,"vRG","ANXA1"
"SOCS3",0,0.701867914493676,0.119,0.005,0,"vRG","SOCS3"
"THBS2",0,0.583682599543349,0.115,0.005,0,"vRG","THBS2"
"STMN1",0,-1.80720955022528,0.726,0.936,0,"vRG","STMN1"
"TMSB10",0,-1.90582314356383,0.747,0.931,0,"vRG","TMSB10"
"STMN2",0,-4.24288595586317,0.095,0.797,0,"vRG","STMN2"
"ATP1A2",8.23087881985084e-307,1.14739103028086,0.243,0.027,1.89754680312841e-302,"vRG","ATP1A2"
"FGFBP3",4.44043736191748e-302,1.72972380044366,0.579,0.154,1.02369842941645e-297,"vRG","FGFBP3"
"PSAT1",2.25876704824055e-301,1.18448471209477,0.309,0.044,5.20736155301376e-297,"vRG","PSAT1"
"CXCL12",1.09616124518286e-300,1.10724196027453,0.228,0.024,2.52709013464456e-296,"vRG","CXCL12"
"PSRC1",8.41144593844606e-300,1.28768336078576,0.288,0.039,1.93917474664935e-295,"vRG","PSRC1"
"DACH1",6.81075255761957e-292,0.958421661574308,0.209,0.021,1.57015089463362e-287,"vRG","DACH1"
"EGFR",1.46730060942774e-291,0.849395846957155,0.141,0.009,3.3827148249747e-287,"vRG","EGFR"
"NR2E1",2.54358509773121e-289,0.939007262039879,0.229,0.025,5.86398108430954e-285,"vRG","NR2E1"
"IL33",1.3327398637043e-287,0.9540288133785,0.176,0.015,3.07249848178388e-283,"vRG","IL33"
"FOSB",1.72016615159932e-284,1.45999510048959,0.312,0.048,3.96567104589707e-280,"vRG","FOSB"
"SOX11",2.73928385216186e-283,-2.62308514624017,0.402,0.816,6.31514499277396e-279,"vRG","SOX11"
"MCL1",4.03580813330894e-278,1.48128862530359,0.491,0.116,9.30415207053043e-274,"vRG","MCL1"
"NFKBIZ",1.60771103233082e-276,0.691822345998156,0.116,0.006,3.70641701393547e-272,"vRG","NFKBIZ"
"FAM84B",6.52066499988062e-273,0.78930359030109,0.147,0.011,1.50327410907248e-268,"vRG","FAM84B"
"ZFP36L2",2.30011543665277e-271,1.01306359457475,0.225,0.026,5.3026861276593e-267,"vRG","ZFP36L2"
"STOX1",3.39773683249474e-271,0.94578758823792,0.193,0.019,7.83314249363336e-267,"vRG","STOX1"
"DUSP10",3.70218009157566e-269,0.969858321612564,0.212,0.023,8.53500598311854e-265,"vRG","DUSP10"
"MIR92B",1.63114995562966e-267,0.568439972947229,0.1,0.004,3.76045310770861e-263,"vRG","MIR92B"
"COL4A5",4.25219860857154e-265,0.868060215815715,0.172,0.015,9.80301867220083e-261,"vRG","COL4A5"
"ANGPTL1",4.37837208230221e-260,0.781247135199337,0.137,0.01,1.00938989985395e-255,"vRG","ANGPTL1"
"PDPN",3.16337046949597e-257,0.863291572244713,0.212,0.024,7.29283428037601e-253,"vRG","PDPN"
"ADGRV1",6.8448734971026e-255,1.14908932652004,0.28,0.042,1.57801713602203e-250,"vRG","ADGRV1"
"MPP5",6.08167808950455e-249,1.07112301620372,0.239,0.032,1.40207006675438e-244,"vRG","MPP5"
"HES5",4.58597380307379e-248,1.28106501813768,0.24,0.032,1.05725040056063e-243,"vRG","HES5"
"B2M",7.52025239961298e-246,1.14371861398889,0.381,0.076,1.73371898820678e-241,"vRG","B2M"
"MT2A",9.37900045926046e-246,1.04636623295936,0.256,0.036,2.16223476587791e-241,"vRG","MT2A"
"PPM1K",3.08674323020196e-242,1.42467065292103,0.542,0.153,7.1161778429076e-238,"vRG","PPM1K"
"WWC2",6.6837299308834e-241,1.04558604280074,0.2,0.023,1.54086709826586e-236,"vRG","WWC2"
"PHGDH",2.36507161190762e-236,0.939915331800648,0.25,0.036,5.45243609409182e-232,"vRG","PHGDH"
"LRRC3B",6.40433672814183e-234,1.16041578339512,0.318,0.057,1.47645578930582e-229,"vRG","LRRC3B"
"AKAP12",6.16720479193751e-231,1.49363554397635,0.649,0.224,1.42178739273327e-226,"vRG","AKAP12"
"SOX6",3.62879591168416e-228,0.993965639004365,0.308,0.054,8.36582609479667e-224,"vRG","SOX6"
"HTR2A",1.00061768211444e-226,0.783971550270789,0.139,0.012,2.30682400434662e-222,"vRG","HTR2A"
"NEUROD6",2.98472889165769e-223,-3.24553149668749,0.066,0.613,6.88099398682765e-219,"vRG","NEUROD6"
"REST",9.59493375091059e-222,1.18451760108688,0.292,0.051,2.21201602693493e-217,"vRG","REST"
"SAMD4A",8.75679972699977e-220,0.531809940615711,0.114,0.008,2.01879260906253e-215,"vRG","SAMD4A"
"TMEM47",2.32958559383285e-213,0.839292813814928,0.229,0.033,5.37062662802225e-209,"vRG","TMEM47"
"FAM69C",3.94856431540013e-210,0.614867669637775,0.117,0.009,9.10302017272346e-206,"vRG","FAM69C"
"DNAJC1",9.47536933132688e-208,1.15057881223326,0.318,0.064,2.1844516456441e-203,"vRG","DNAJC1"
"NAPEPLD",3.82947361958858e-207,0.7885555004567,0.21,0.029,8.82846848259952e-203,"vRG","NAPEPLD"
"S1PR3",2.37560696250434e-206,0.674826308363131,0.151,0.015,5.4767242913575e-202,"vRG","S1PR3"
"SOAT1",5.27987099066987e-206,0.94372791788022,0.211,0.03,1.21722145818903e-201,"vRG","SOAT1"
"QKI",5.50779228314281e-204,1.21534471976577,0.48,0.133,1.26976643295574e-199,"vRG","QKI"
"LINC00943",9.24845514740033e-203,0.853390154821555,0.154,0.016,2.13213884968167e-198,"vRG","LINC00943"
"MOXD1",5.01002356191851e-201,0.969742840759521,0.251,0.041,1.15501083196469e-196,"vRG","MOXD1"
"HSPA1B",1.24060048785108e-200,1.49241021832811,0.415,0.107,2.86008036469188e-196,"vRG","HSPA1B"
"RFTN2",7.00265729921538e-200,0.742357394124079,0.176,0.021,1.61439261376111e-195,"vRG","RFTN2"
"HMGN3",6.03309640723344e-199,1.28192773836717,0.641,0.237,1.3908700457236e-194,"vRG","HMGN3"
"CALD1",1.39048712172304e-197,1.1989533602377,0.537,0.165,3.20562901042031e-193,"vRG","CALD1"
"SHROOM3",3.49084509472699e-197,0.777988179677055,0.158,0.017,8.0477942813836e-193,"vRG","SHROOM3"
"GPM6B",1.02181953151089e-190,1.27426289475695,0.624,0.231,2.3557027479452e-186,"vRG","GPM6B"
"ECHDC2",4.49612655085983e-190,0.831692342153208,0.197,0.028,1.03653701503523e-185,"vRG","ECHDC2"
"PLOD2",2.8006368795779e-189,0.662351826419779,0.137,0.014,6.45658826217889e-185,"vRG","PLOD2"
"GPM6A",6.79553290519653e-189,-2.03809956299621,0.431,0.742,1.56664215596401e-184,"vRG","GPM6A"
"CDCA7L",1.14357050852637e-187,0.982008243530715,0.256,0.046,2.6363874503567e-183,"vRG","CDCA7L"
"F3",2.50669628386351e-186,0.936311027479418,0.191,0.027,5.77893761281893e-182,"vRG","F3"
"PARD3B",1.16502652876146e-185,0.677320774401073,0.142,0.015,2.68585215940667e-181,"vRG","PARD3B"
"SCRN1",1.3627369759491e-185,1.1806934758117,0.581,0.203,3.14165382435305e-181,"vRG","SCRN1"
"TNFRSF19",6.82551812117285e-185,0.537054814159251,0.116,0.01,1.57355494765519e-180,"vRG","TNFRSF19"
"GAB1",1.9562798999596e-184,0.696377985839314,0.149,0.017,4.51000768136687e-180,"vRG","GAB1"
"N4BP2L1",2.29515947255666e-184,0.728994671770178,0.15,0.017,5.29126064803212e-180,"vRG","N4BP2L1"
"MYO10",4.48631074636623e-184,1.19692753528541,0.484,0.146,1.03427407946727e-179,"vRG","MYO10"
"GNG12",5.3950669661637e-184,0.921405757374106,0.208,0.032,1.24377873837938e-179,"vRG","GNG12"
"AIF1L",1.15864298962812e-183,0.910358954256607,0.228,0.038,2.67113554828866e-179,"vRG","AIF1L"
"LITAF",5.13570405028507e-183,0.9221985272608,0.222,0.036,1.18398521175272e-178,"vRG","LITAF"
"SLA",9.35289929921129e-183,-2.95537919802167,0.047,0.54,2.15621740444017e-178,"vRG","SLA"
"DDIT3",3.0245067453481e-182,0.942401141667723,0.229,0.038,6.97269785072552e-178,"vRG","DDIT3"
"RHOQ",4.90596438160549e-182,0.766407730141761,0.161,0.019,1.13102102853533e-177,"vRG","RHOQ"
"DNAJB1",1.92281226278917e-181,1.2600949262288,0.387,0.1,4.43285139063414e-177,"vRG","DNAJB1"
"DCX",2.07520010240767e-178,-2.24206902682227,0.209,0.64,4.78416631609065e-174,"vRG","DCX"
"GRB14",1.21877260469787e-177,0.859691662151339,0.178,0.024,2.80975836287047e-173,"vRG","GRB14"
"LRRC17",6.07970994632317e-177,0.816514483571695,0.193,0.028,1.40161633102534e-172,"vRG","LRRC17"
"TUBA1A",7.43557047189442e-177,-1.25335105364301,0.9,0.943,1.71419641659054e-172,"vRG","TUBA1A"
"MEGF10",3.32797497659116e-176,0.634020357094578,0.14,0.015,7.67231351103325e-172,"vRG","MEGF10"
"KLF6",9.87041289825877e-175,1.30504285628915,0.589,0.222,2.27552498956458e-170,"vRG","KLF6"
"NEUROD2",2.28287887964173e-174,-2.74974804872854,0.036,0.516,5.26294896912604e-170,"vRG","NEUROD2"
"TGIF1",7.25212163432332e-174,0.789851388133891,0.189,0.028,1.6719041215769e-169,"vRG","TGIF1"
"SOX4",4.04439588123895e-173,-1.89100301293208,0.588,0.807,9.32395026460827e-169,"vRG","SOX4"
"TRIP6",2.8204691819124e-171,0.747649563709468,0.132,0.014,6.50230965198084e-167,"vRG","TRIP6"
"CD24",6.36280751230326e-171,-2.30088563734317,0.105,0.57,1.46688164388639e-166,"vRG","CD24"
"PELI2",1.61137908912791e-170,0.986500645303549,0.316,0.072,3.71487335207549e-166,"vRG","PELI2"
"HSPA1A",1.71010377675231e-170,1.51102824258687,0.415,0.12,3.94247324692478e-166,"vRG","HSPA1A"
"RTN1",2.40673117580694e-170,-1.95800168404736,0.296,0.68,5.54847805270533e-166,"vRG","RTN1"
"FKBP10",3.72623892519122e-170,0.68920624863882,0.123,0.012,8.59047121813584e-166,"vRG","FKBP10"
"SCRG1",1.12118032814469e-168,0.67696608499841,0.162,0.021,2.58476912850476e-164,"vRG","SCRG1"
"EGR3",8.79132785976893e-168,0.681932088941108,0.107,0.009,2.02675272479113e-163,"vRG","EGR3"
"GADD45A",2.04886058026563e-167,1.08954032021965,0.248,0.048,4.72344318174438e-163,"vRG","GADD45A"
"SALL3",8.31734799973722e-167,0.805229759461456,0.163,0.022,1.91748140785942e-162,"vRG","SALL3"
"EGLN3",2.16192851961483e-166,0.546211142900837,0.113,0.01,4.98411000912004e-162,"vRG","EGLN3"
"TMEM132B",1.28078629166737e-165,1.0814432562585,0.33,0.08,2.95272471680996e-161,"vRG","TMEM132B"
"TIMP3",1.8475091586436e-165,0.842433004839226,0.19,0.029,4.25924761433696e-161,"vRG","TIMP3"
"SRI",2.89883862883278e-164,1.11543933842048,0.509,0.173,6.68298257491109e-160,"vRG","SRI"
"PLCH1",4.51902329717165e-164,0.554963614861178,0.111,0.01,1.04181563092995e-159,"vRG","PLCH1"
"MYT1L",1.79876139497461e-163,-2.76023450918373,0.034,0.496,4.14686451997446e-159,"vRG","MYT1L"
"ARHGAP5",1.80807884558873e-163,1.19383613458519,0.537,0.192,4.16834497062025e-159,"vRG","ARHGAP5"
"MLLT11",3.45588768324963e-163,-2.28312376307058,0.128,0.566,7.9672034649637e-159,"vRG","MLLT11"
"RAB31",1.50837675577661e-162,0.802204610236773,0.208,0.035,3.4774117727674e-158,"vRG","RAB31"
"INTU",5.71551858928525e-162,1.11374918362823,0.373,0.1,1.31765565557382e-157,"vRG","INTU"
"OAT",7.83543996957233e-160,0.953292837430294,0.247,0.049,1.80638233058521e-155,"vRG","OAT"
"LDHA",1.57936942368906e-159,1.10872247675455,0.366,0.099,3.64107826937276e-155,"vRG","LDHA"
"CCNL1",2.533657899209e-159,1.24330030950797,0.538,0.197,5.84109492083642e-155,"vRG","CCNL1"
"METRN",2.74195928546218e-159,0.629976847969204,0.145,0.018,6.3213129367045e-155,"vRG","METRN"
"PCGF5",7.66552630024603e-159,0.724074180032338,0.151,0.02,1.76721043325872e-154,"vRG","PCGF5"
"TBC1D1",1.88750727489543e-158,0.825945938091425,0.226,0.042,4.35145927154392e-154,"vRG","TBC1D1"
"FAM107A",6.09003919298338e-158,0.861745583269379,0.206,0.035,1.40399763555039e-153,"vRG","FAM107A"
"PHF11",6.66682553838287e-156,0.657707094151102,0.128,0.014,1.53696995961879e-151,"vRG","PHF11"
"COL4A6",7.86528221782329e-156,0.523228424630694,0.116,0.012,1.81326216249698e-151,"vRG","COL4A6"
"RBFOX2",1.50833266126678e-155,-2.23254385123931,0.136,0.559,3.47731011728442e-151,"vRG","RBFOX2"
"JAM3",4.16044090645428e-155,0.900704228763476,0.227,0.043,9.59148046573969e-151,"vRG","JAM3"
"ENSG00000263146",3.43569957298842e-154,0.656611896584352,0.15,0.02,7.92066179556751e-150,"vRG","ENSG00000263146"
"MID1",4.695964796912e-154,0.903545440970404,0.268,0.058,1.08260772428009e-149,"vRG","MID1"
"LIMA1",5.61154988271325e-154,1.04719691001543,0.35,0.092,1.29368670996071e-149,"vRG","LIMA1"
"MLC1",1.22303575875451e-152,0.697517480721408,0.157,0.022,2.81958663823264e-148,"vRG","MLC1"
"MDK",1.30349232038068e-152,1.08464435237005,0.611,0.247,3.00507119540561e-148,"vRG","MDK"
"PARP14",1.54374944212086e-152,0.667624386297165,0.121,0.013,3.55895996386543e-148,"vRG","PARP14"
"HMGB2",6.49598860177757e-152,0.743491625938138,0.467,0.144,1.4975852122538e-147,"vRG","HMGB2"
"CDCA7",1.68575621671688e-151,0.977224433173112,0.234,0.046,3.8863423820191e-147,"vRG","CDCA7"
"FABP5P7",1.93493858339606e-151,0.806359481605289,0.167,0.025,4.46080741016127e-147,"vRG","FABP5P7"
"PLCE1",2.21038878759154e-149,0.965312860589279,0.299,0.071,5.09583031091354e-145,"vRG","PLCE1"
"CDK6",8.98263937468432e-147,0.855002552527099,0.2,0.035,2.07085768143972e-142,"vRG","CDK6"
"C9orf24",3.13555719381671e-146,0.580446221549169,0.102,0.01,7.22871355462503e-142,"vRG","C9orf24"
"YAP1",1.15653930141573e-145,0.560796357993122,0.118,0.013,2.66628570548382e-141,"vRG","YAP1"
"C1orf61",1.22486088659186e-145,1.07269936422127,0.897,0.63,2.82379428794888e-141,"vRG","C1orf61"
"FAM219A",1.34775062211738e-145,0.745117858969728,0.237,0.048,3.10710428422941e-141,"vRG","FAM219A"
"NFIA",8.9692546281854e-145,1.06018506703327,0.636,0.266,2.06777196198186e-140,"vRG","NFIA"
"WEE1",1.2098616116746e-144,0.840313596717928,0.19,0.033,2.78921495955462e-140,"vRG","WEE1"
"IGFBP5",2.99749775107824e-142,0.542359988379037,0.107,0.011,6.91043131533577e-138,"vRG","IGFBP5"
"CTNNB1",3.38406435423999e-142,1.0354156357344,0.427,0.137,7.80162196226487e-138,"vRG","CTNNB1"
"GAP43",4.49435514295255e-142,-2.65446453352514,0.057,0.473,1.03612863465628e-137,"vRG","GAP43"
"FABP7",1.18854324565208e-141,1.12932563657277,0.879,0.571,2.7400675985263e-137,"vRG","FABP7"
"SLC9A3R1",3.07098385102146e-141,0.652994827570686,0.153,0.022,7.07984617014487e-137,"vRG","SLC9A3R1"
"IL6ST",8.51301396028803e-141,0.781122160538785,0.191,0.034,1.9625902384048e-136,"vRG","IL6ST"
"PTPRZ1",9.42441544693501e-141,1.01229455914021,0.792,0.437,2.1727047371364e-136,"vRG","PTPRZ1"
"SOX21",1.53263360910217e-140,0.519737592320674,0.105,0.011,3.53333352242414e-136,"vRG","SOX21"
"BBX",2.89835948550106e-140,1.01397355580804,0.305,0.077,6.68187795787415e-136,"vRG","BBX"
"SEPT11",3.17441631107026e-140,1.12169499816421,0.78,0.458,7.31829936354138e-136,"vRG","SEPT11"
"NPAS3",8.64503074001172e-140,0.785043112943574,0.182,0.031,1.9930253868023e-135,"vRG","NPAS3"
"MAT2B",3.61099795698619e-139,0.895067084474625,0.268,0.062,8.32479469003596e-135,"vRG","MAT2B"
"ABHD3",6.82091619745511e-139,0.566326907940188,0.133,0.017,1.5724940201613e-134,"vRG","ABHD3"
"TGFB2",1.98095849330339e-138,0.573662269966973,0.111,0.012,4.56690171046164e-134,"vRG","TGFB2"
"ITGA6",2.15724769333307e-136,0.722763943332459,0.165,0.026,4.97331883221006e-132,"vRG","ITGA6"
"PDLIM5",5.0858807190995e-136,0.627974402830847,0.155,0.024,1.1724989409812e-131,"vRG","PDLIM5"
"SDC2",2.51344108404691e-134,0.695129247089028,0.16,0.025,5.79448707516174e-130,"vRG","SDC2"
"TPM2",2.34490355336405e-133,0.791706574300253,0.189,0.035,5.40594065192547e-129,"vRG","TPM2"
"ENSG00000170091",9.12369193702052e-133,-2.42033399009215,0.028,0.43,2.10337593916071e-128,"vRG","ENSG00000170091"
"MCM2",1.11532890660719e-130,0.835563431521146,0.179,0.032,2.57127926129222e-126,"vRG","MCM2"
"CKB",2.90991602293601e-130,1.14499216766508,0.757,0.449,6.70852039927668e-126,"vRG","CKB"
"CHD3",2.9800222048635e-130,-1.90148271820102,0.246,0.592,6.87014319109232e-126,"vRG","CHD3"
"ALDOA",4.88290784300033e-130,0.961427095426416,0.404,0.133,1.1257055741253e-125,"vRG","ALDOA"
"HES4",1.59596438577047e-129,0.99493029506319,0.293,0.077,3.67933629495524e-125,"vRG","HES4"
"NREP",2.8461335575635e-129,-1.57589732198716,0.461,0.714,6.56147630360689e-125,"vRG","NREP"
"NEDD9",2.88358607321867e-128,0.957460627733756,0.275,0.069,6.64781933319831e-124,"vRG","NEDD9"
"JUND",6.70531390037827e-128,0.961279944016182,0.385,0.123,1.54584306659321e-123,"vRG","JUND"
"SYT1",8.57598318663849e-128,-2.48545223840983,0.038,0.43,1.97710716384764e-123,"vRG","SYT1"
"ZBTB20",6.0009124532155e-127,0.949630491248425,0.454,0.159,1.3834503569643e-122,"vRG","ZBTB20"
"INHBB",3.69576822481303e-126,0.699228384649796,0.188,0.036,8.52022406548395e-122,"vRG","INHBB"
"TRIM9",1.61273203582048e-125,0.926349814829151,0.311,0.086,3.71799243538053e-121,"vRG","TRIM9"
"EFNB2",8.26846073614374e-125,1.03461890348863,0.616,0.281,1.90621093811058e-120,"vRG","EFNB2"
"SH3BGRL",1.74908888435357e-124,1.0102832945146,0.416,0.141,4.03234951398872e-120,"vRG","SH3BGRL"
"CD63",6.0822810108074e-124,0.962029530291644,0.466,0.172,1.40220906423154e-119,"vRG","CD63"
"C2orf40",2.85964570244086e-123,0.505334493701575,0.105,0.012,6.59262720240717e-119,"vRG","C2orf40"
"VCL",8.73877518283735e-123,0.700982378796069,0.181,0.034,2.01463723065132e-118,"vRG","VCL"
"STXBP3",8.88152664442712e-123,0.788839260392987,0.195,0.039,2.04754715260623e-118,"vRG","STXBP3"
"S1PR1",9.61939444767594e-123,0.527677239921525,0.107,0.013,2.21765519596721e-118,"vRG","S1PR1"
"C3orf58",1.58037904330876e-122,0.751770800486166,0.21,0.045,3.643405846444e-118,"vRG","C3orf58"
"TMEM170A",3.68858256528541e-122,0.845778192568557,0.235,0.054,8.503658246009e-118,"vRG","TMEM170A"
"MYL12A",2.83178260035985e-121,0.799014322540398,0.244,0.058,6.52839160686959e-117,"vRG","MYL12A"
"FILIP1",3.58182506060956e-121,0.64080698316801,0.1,0.011,8.25753949472928e-117,"vRG","FILIP1"
"SLC2A3",9.83417641609272e-121,0.679065074455765,0.155,0.026,2.26717103096602e-116,"vRG","SLC2A3"
"FZD2",2.18396014780477e-120,0.522187267871554,0.113,0.014,5.03490172474912e-116,"vRG","FZD2"
"LDLR",2.54768041413499e-120,0.840685733903733,0.228,0.052,5.87342242674681e-116,"vRG","LDLR"
"LRRTM3",3.94453761069582e-119,0.654629679393125,0.143,0.023,9.09373700769814e-115,"vRG","LRRTM3"
"ATP1B2",5.81816012923038e-119,0.88279859930689,0.227,0.052,1.34131863619277e-114,"vRG","ATP1B2"
"HELLS",2.98384712729243e-118,1.06564791032265,0.334,0.101,6.87896116725996e-114,"vRG","HELLS"
"RGS16",1.6028036410704e-117,0.569532179941996,0.111,0.014,3.69510351412371e-113,"vRG","RGS16"
"LGALS3BP",2.0041460987905e-117,0.545483468108709,0.111,0.014,4.62035841615161e-113,"vRG","LGALS3BP"
"MAPT",2.06210160450478e-117,-2.08970148086045,0.069,0.439,4.75396903902531e-113,"vRG","MAPT"
"HSPA5",3.36458500485658e-116,1.2151287013029,0.569,0.263,7.75671427019636e-112,"vRG","HSPA5"
"MDFIC",5.18665610441452e-116,0.554981934239281,0.102,0.012,1.19573169831172e-111,"vRG","MDFIC"
"SCHIP1",1.62453298989412e-115,0.984541080725207,0.41,0.145,3.7451983549019e-111,"vRG","SCHIP1"
"DMRTA2",2.47841153238792e-115,0.625172269465361,0.162,0.029,5.71372994676711e-111,"vRG","DMRTA2"
"PHLDA1",4.176116465376e-115,1.01197877435013,0.403,0.138,9.62761889927783e-111,"vRG","PHLDA1"
"DNPH1",4.67499244724996e-114,0.724839590970647,0.195,0.041,1.077772758789e-109,"vRG","DNPH1"
"SPRY2",8.99571562015594e-114,0.672713508088757,0.178,0.035,2.07387227907075e-109,"vRG","SPRY2"
"MIAT",1.01844459025236e-113,-2.05254263892205,0.071,0.436,2.34792215836779e-109,"vRG","MIAT"
"LRIG1",3.01386660285508e-113,0.555308262703755,0.116,0.016,6.94816806622209e-109,"vRG","LRIG1"
"NKAIN3",7.41949979408013e-113,0.813638010798281,0.268,0.072,1.71049148252723e-108,"vRG","NKAIN3"
"REXO2",8.0335745050106e-113,0.743779770607011,0.222,0.052,1.85206026638514e-108,"vRG","REXO2"
