"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-CO2",1.27533749251102e-27,-0.600844391321697,0.657,0.657,2.9401630552349e-23,"oRG","MT-CO2"
"CDH11.1",1.36540864707149e-27,-0.733307860654164,0.01,0.101,3.14781309495861e-23,"oRG","CDH11"
"TMEM106C.1",1.69683835161346e-27,0.264497297701167,0.129,0.056,3.91189113580966e-23,"oRG","TMEM106C"
"SHFM1",1.8647993194377e-27,0.253977742783464,0.436,0.273,4.29910835103168e-23,"oRG","SHFM1"
"HIRIP3",3.88267888922512e-27,0.256000692589579,0.252,0.137,8.95112791121958e-23,"oRG","HIRIP3"
"SENP6",5.73080509973406e-27,0.252665524069569,0.473,0.303,1.32117980769269e-22,"oRG","SENP6"
"EPHB6.1",5.89388709230613e-27,-0.960520894939564,0.064,0.174,1.35877673026025e-22,"oRG","EPHB6"
"SERBP1",9.20601229011299e-27,0.258538728378017,0.665,0.464,2.12235407336265e-22,"oRG","SERBP1"
"RPL39",9.45234801136717e-27,-0.611298171210623,0.633,0.648,2.17914431054059e-22,"oRG","RPL39"
"MINOS1",9.83470006200541e-27,0.26580982485303,0.265,0.147,2.26729175229473e-22,"oRG","MINOS1"
"EMD",1.10313626072696e-26,0.294317335192949,0.147,0.067,2.54317033547994e-22,"oRG","EMD"
"HNRNPH2",1.13357376010545e-26,0.258966118577632,0.209,0.107,2.6133409465471e-22,"oRG","HNRNPH2"
"SLF1.1",1.27752039689983e-26,0.266748538505667,0.242,0.131,2.94519552301287e-22,"oRG","SLF1"
"BCL7A.1",1.29694783941157e-26,-0.901825755537363,0.157,0.273,2.98998354897944e-22,"oRG","BCL7A"
"RNF141.1",1.47086679792452e-26,0.250205935082388,0.12,0.05,3.39093631593519e-22,"oRG","RNF141"
"CCT4",1.94582243937565e-26,0.255162336628475,0.391,0.243,4.48589905173663e-22,"oRG","CCT4"
"MRPL24",2.11875361939418e-26,0.271438831823956,0.121,0.052,4.88457459415134e-22,"oRG","MRPL24"
"RPL22",2.50185071349616e-26,-0.663935536454587,0.514,0.57,5.76776663489406e-22,"oRG","RPL22"
"MAP4K4.1",2.51882462164049e-26,-0.821092453405498,0.446,0.514,5.80689828272999e-22,"oRG","MAP4K4"
"UNC5D.1",2.80032812195722e-26,-0.801442691468857,0.019,0.11,6.45587645236018e-22,"oRG","UNC5D"
"NHSL1.1",2.91417108544363e-26,-0.797087791660686,0.044,0.147,6.71833002038175e-22,"oRG","NHSL1"
"CELF4.1",3.65284257810807e-26,-0.995363388383301,0.015,0.106,8.42126327957035e-22,"oRG","CELF4"
"EVI5.1",4.85560916347464e-26,0.27320916630127,0.114,0.047,1.11941213654744e-21,"oRG","EVI5"
"LRP6",5.30279291164629e-26,0.253408203583182,0.171,0.083,1.22250587785093e-21,"oRG","LRP6"
"PWWP2A",6.53468441029194e-26,0.263721181424535,0.285,0.162,1.5065061439487e-21,"oRG","PWWP2A"
"EEF1A1.1",2.76223436810177e-25,-0.405942107633432,0.848,0.83,6.36805511222183e-21,"oRG","EEF1A1"
"RPS23.1",3.09665425878507e-25,-0.459764623716233,0.8,0.769,7.1390267282031e-21,"oRG","RPS23"
"SCFD1",3.71966800148539e-25,0.265756637404672,0.228,0.124,8.57532261062442e-21,"oRG","SCFD1"
"ZSCAN30",4.14477927282927e-25,0.287658449146471,0.151,0.071,9.55537413558061e-21,"oRG","ZSCAN30"
"PNKD.1",4.44979494008268e-25,0.256397356358055,0.158,0.076,1.02585572548666e-20,"oRG","PNKD"
"ZNF462.1",5.1113583507273e-25,-0.918776271045433,0.172,0.282,1.17837255417667e-20,"oRG","ZNF462"
"CEP89",5.5991074932064e-25,0.273996003458361,0.275,0.158,1.2908182414838e-20,"oRG","CEP89"
"CSRP2.1",6.79075081008096e-25,-1.08207700231496,0.271,0.36,1.56553969175606e-20,"oRG","CSRP2"
"H2AFZ",8.02221995054412e-25,0.343710541261965,0.507,0.352,1.84944258739844e-20,"oRG","H2AFZ"
"DOCK7",8.71948731246602e-25,0.268446696974642,0.224,0.121,2.01019060501592e-20,"oRG","DOCK7"
"SIVA1.1",1.09730653623863e-24,0.26684302153008,0.171,0.085,2.52973048864453e-20,"oRG","SIVA1"
"DNMT1",1.36998809630746e-24,0.252266673061462,0.329,0.199,3.15837055722723e-20,"oRG","DNMT1"
"ANK3.1",1.48047698778176e-24,-1.14693767924839,0.088,0.193,3.41309164763207e-20,"oRG","ANK3"
"NIFK.1",3.33341808822694e-24,0.253144230885303,0.244,0.137,7.6848620605984e-20,"oRG","NIFK"
"NCAM1.1",3.86015990647039e-24,-0.776395154955411,0.486,0.53,8.89921264837685e-20,"oRG","NCAM1"
"RPL23",4.8674846300744e-24,-0.406343164166151,0.805,0.782,1.12214990661735e-19,"oRG","RPL23"
"HSP90AB1",4.88951481071591e-24,0.280081916550945,0.906,0.803,1.12722874446245e-19,"oRG","HSP90AB1"
"SOX5.1",5.05773828120444e-24,-0.981227046078669,0.266,0.362,1.16601098334887e-19,"oRG","SOX5"
"CCSAP.1",6.99447191905481e-24,-0.810627671202517,0.06,0.161,1.6125055562189e-19,"oRG","CCSAP"
"PPP1CC",1.21113271042428e-23,0.260346743635375,0.222,0.121,2.79214535061212e-19,"oRG","PPP1CC"
"ZNF704.1",1.21771834595141e-23,-1.07510748195619,0.18,0.284,2.80732787475638e-19,"oRG","ZNF704"
"PLGRKT",1.55979406448527e-23,0.282957907277542,0.138,0.065,3.59594923626435e-19,"oRG","PLGRKT"
"FAM155A.1",1.60219121155713e-23,-0.702694661318249,0.018,0.102,3.69369161912381e-19,"oRG","FAM155A"
"ZNF91.1",1.68201577902309e-23,-0.937703709700602,0.176,0.28,3.87771917695984e-19,"oRG","ZNF91"
"CACYBP",2.80505335509486e-23,0.257782864020505,0.346,0.216,6.46677000483569e-19,"oRG","CACYBP"
"GTF3C3",3.96771532114241e-23,0.268065017328143,0.121,0.055,9.14717090136171e-19,"oRG","GTF3C3"
"DCTPP1",4.01335220112397e-23,0.30411307174143,0.151,0.074,9.25238216447119e-19,"oRG","DCTPP1"
"KALRN.1",4.6354217167049e-23,-0.798065601223065,0.049,0.143,1.06865012256915e-18,"oRG","KALRN"
"ILF3.1",5.1746054270452e-23,-0.675174957672426,0.584,0.595,1.192953535151e-18,"oRG","ILF3"
"TMOD1.1",6.0496765269713e-23,-0.698201225338034,0.022,0.105,1.39469242652796e-18,"oRG","TMOD1"
"KCTD3.1",1.37691174494016e-22,0.283698734075595,0.183,0.096,3.17433233678505e-18,"oRG","KCTD3"
"ZNF608.1",1.51540087150475e-22,-1.00592695232967,0.278,0.358,3.49360516916706e-18,"oRG","ZNF608"
"PTPRO.1",1.53152866971882e-22,-0.684955922086531,0.038,0.127,3.53078619516976e-18,"oRG","PTPRO"
"DLX6-AS1.1",2.26829379859279e-22,-2.69174454666822,0.029,0.112,5.22932452327581e-18,"oRG","DLX6-AS1"
"CPE.1",2.75588685391999e-22,-0.828258036829238,0.422,0.477,6.35342155302715e-18,"oRG","CPE"
"KMT2E.1",5.46876081896692e-22,-0.733689505419797,0.469,0.522,1.26076811920463e-17,"oRG","KMT2E"
"ZNF830",6.08355114581258e-22,0.262612428747282,0.166,0.085,1.40250188115563e-17,"oRG","ZNF830"
"MN1.1",6.12500749558185e-22,-0.782905889016721,0.067,0.161,1.41205922803144e-17,"oRG","MN1"
